,Seat,First_name,Last_name,Party,Votes,Year,Won,Election_date,First_Name,Last_Name,Est,Age_Semester
1,BEATY,BRYAN,BLACKBURN,VOICE,36,2001,FALSE,FALL,NA,NA,INDEPENDENT,1
2,BEATY,JEFFERY,SIMON,FUSION,197,2001,TRUE,FALL,NA,NA,SYSTEM,2
3,BEATY,LINDSAY,KANE,IGNITE,193,2002,TRUE,FALL,NA,NA,SYSTEM,2
4,BEATY,DAN,FITZPATRICK,STUDENT ALLIANCE,75,2003,FALSE,FALL,NA,NA,INDEPENDENT,2
5,BEATY,TRISTA,PEREZ,IGNITE,190,2003,TRUE,FALL,NA,NA,SYSTEM,3
6,BEATY,MATTHEW,FUTCH,ACCESS,111,2004,TRUE,FALL,NA,NA,INDEPENDENT,2
7,BEATY,KELLIE,DALE,GATOR,206,2005,TRUE,FALL,NA,NA,SYSTEM,2
8,BEATY,CAITLIN,CLAUSE,IMPACT,80,2005,FALSE,FALL,NA,NA,INDEPENDENT,2
9,BEATY,JORDAN,MCBEE,INDEPENDENT,10,2005,FALSE,FALL,NA,NA,INDEPENDENT,NA
10,BEATY,JORDAN,MCBEE,SWAMP,229,2006,TRUE,FALL,NA,NA,SYSTEM,2
11,BEATY,MARCUS,DIXON,INDEPENDENT,155,2007,FALSE,FALL,NA,NA,INDEPENDENT,NA
12,BEATY,JAMEL,LANGLEY,GATOR,251,2007,TRUE,FALL,NA,NA,SYSTEM,2
13,BEATY,GARRICK,HARDING,GATOR,280,2008,TRUE,FALL,NA,NA,SYSTEM,4
14,BEATY,JARED,MISNER,ORANGE & BLUE,127,2008,FALSE,FALL,NA,NA,INDEPENDENT,2
15,BEATY,HAYLEY,PLANT,UNITE,266,2009,TRUE,FALL,NA,NA,SYSTEM,2
16,BEATY,MARIEL,RECTOR,PROGRESS,91,2009,FALSE,FALL,NA,NA,INDEPENDENT,2
17,BEATY,MICHAEL,MORALES,ORANGE & BLUE,59,2009,FALSE,FALL,NA,NA,INDEPENDENT,4
18,BEATY,FORD,DWYER,INDEPENDENT,158,2010,FALSE,FALL,NA,NA,INDEPENDENT,NA
19,BEATY,SHAYLA,DAVIS,UNITE,211,2010,TRUE,FALL,NA,NA,SYSTEM,4
20,BEATY,JOEY,MICHAELS,UNITE,272,2011,TRUE,FALL,NA,NA,SYSTEM,6
21,BEATY,ALEXANDER,COHEN,STUDENTS PARTY,62,2011,FALSE,FALL,NA,NA,INDEPENDENT,1
22,BEATY,MATTHEW,REYNOLDS,SWAMP,206,2013,TRUE,FALL,NA,NA,SYSTEM,3
23,BEATY,RACHEL,COOK,SWAMP,236,2014,TRUE,FALL,NA,NA,SYSTEM,5
24,BEATY,JUSTIN,ORTIZ,ACCESS,139,2015,FALSE,FALL,NA,NA,INDEPENDENT,2
25,BEATY,ANNA,BENSOUSSAN,IMPACT,224,2015,TRUE,FALL,NA,NA,SYSTEM,1
26,BEATY,JEREMY,MURILLO,INDEPENDENT,166,2016,FALSE,FALL,NA,NA,INDEPENDENT,NA
27,BEATY,EMILY,DUNSON,IMPACT,172,2016,TRUE,FALL,NA,NA,SYSTEM,3
28,BEATY,NICOLE,CARUSO,IMPACT,97,2017,FALSE,FALL,NA,NA,SYSTEM,5
29,BEATY,KEVIN,NGUYEN,INSPIRE,144,2017,TRUE,FALL,NA,NA,INDEPENDENT,1
30,BEATY,ELIZABETH,CHAUNCEY,SWAMP,200,2012,TRUE,FALL,NA,NA,SYSTEM,1
31,BEATY,SEAN,THOMAS,STUDENTS PARTY,50,2012,FALSE,FALL,NA,NA,INDEPENDENT,1
32,BROWARD,DANIEL,BROCK,INDEPENDENT,12,2000,FALSE,FALL,NA,NA,INDEPENDENT,NA
33,BROWARD,ASHLEE,STAHL,SUN,185,2000,FALSE,FALL,NA,NA,INDEPENDENT,1
34,BROWARD,LAQUITA,SMITH,IMPACT,188,2000,TRUE,FALL,NA,NA,SYSTEM,1
35,BROWARD,JESSICA,HORWITZ,VOICE,117,2001,FALSE,FALL,NA,NA,INDEPENDENT,1
36,BROWARD,JOSEPH,GOLDBERG,FUSION,357,2001,TRUE,FALL,NA,NA,SYSTEM,2
